ANO,RA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPV,IAN,IPP,IAA_AnoAnterior,Delta_IAA,Tendencia_IAA,IEG_AnoAnterior,Delta_IEG,Tendencia_IEG,IPS_AnoAnterior,Delta_IPS,Tendencia_IPS,IDA_AnoAnterior,Delta_IDA,Tendencia_IDA,IPP_AnoAnterior,Delta_IPP,Tendencia_IPP,IPV_AnoAnterior,Delta_IPV,Tendencia_IPV,IAN_AnoAnterior,Delta_IAN,Tendencia_IAN,INDE_AnoAnterior,Delta_INDE,Tendencia_INDE,Ponto_Virada
2024,RA-1006,7.040088888900001,Ametista,8.502,8.4444444445,7.51,5.0,7.5,5.0,7.5,9.0,-0.49799999999999933,-0.05527192008879016,9.3,-0.8555555555000005,-0.09189640767991412,7.52,-0.009999999999999787,-0.0013280212483399452,8.7,-3.6999999999999993,-0.4247990815154994,7.5,0.0,0.0,8.0,-0.5,-0.062421972534332085,10.0,-5.0,-0.4995004995004995,8.5922,-1.5521111110999994,-0.18043187918206965,1
2023,RA-1007,8.0782,Topázio,9.0,7.4,7.52,8.3,7.68,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1008,8.13595,Topázio,9.0,8.6,7.52,8.4,7.5,10.0,5.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1008,6.8667414438000005,Agata,7.002,6.483957219,7.51,7.0,7.5,5.0,7.1875,9.0,-1.9980000000000002,-0.22175360710321868,8.6,-2.116042781,-0.24576571207897796,7.52,-0.009999999999999787,-0.0013280212483399452,8.4,-1.4000000000000004,-0.16646848989298457,5.9375,1.25,0.2101723413198823,7.5,0.0,0.0,10.0,-5.0,-0.4995004995004995,8.13595,-1.2692085561999988,-0.1558085375186441,1
2023,RA-1009,7.245,Ametista,0.0,9.0,3.77,8.8,7.84,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1009,6.395389393900001,Agata,8.002,6.8863636365000005,2.51,7.5,6.553333333,5.0,6.5625,0.0,8.002,800.2,9.0,-2.1136363634999995,-0.2345878316870144,3.77,-1.2600000000000002,-0.3333333333333334,8.8,-1.3000000000000007,-0.14755959137343935,7.5,-0.9375,-0.1248335552596538,7.84,-1.2866666669999995,-0.16390658178343945,10.0,-5.0,-0.4995004995004995,7.245,-0.8496106060999988,-0.11710690642315628,1
2022,RA-101,7.305,Ametista,7.9,8.3,7.5,7.6,6.833,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1010,8.70645,Topázio,9.5,10.0,3.77,9.4,8.59,10.0,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1011,7.33095,Ametista,9.5,8.6,3.77,5.2,7.675,10.0,7.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1012,7.96495,Ametista,10.0,9.9,3.77,6.6,7.845,10.0,7.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1012,8.057128571400002,Topázio,9.502,9.523809524,2.51,9.75,8.443333333,5.0,8.125,10.0,-0.49799999999999933,-0.049750249750249685,9.9,-0.37619047599999966,-0.03796069384460138,3.77,-1.2600000000000002,-0.3333333333333334,6.6,3.1500000000000004,0.47655068078668694,7.1875,0.9375,0.13025356026398055,7.845,0.5983333330000002,0.07617228936982817,10.0,-5.0,-0.4995004995004995,7.96495,0.09217857140000163,0.011558514022031691,1
2023,RA-1013,7.6237,Ametista,9.0,9.6,4.39,8.3,5.76,10.0,5.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1013,5.7839559808,Quartzo,9.002,5.6937799039999994,2.51,7.75,4.72,5.0,5.0,9.0,0.002000000000000668,0.0002219755826859787,9.6,-3.906220096,-0.4064745157127992,4.39,-1.88,-0.4272727272727273,8.3,-0.5500000000000007,-0.0661853188929002,5.625,-0.625,-0.1109139307897072,5.76,-1.04,-0.18024263431542462,10.0,-5.0,-0.4995004995004995,7.6237,-1.8397440192000003,-0.24100292377222057,0
2023,RA-1014,8.2582,Topázio,9.0,9.7,3.77,8.2,8.255,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1014,6.315972727300001,Agata,8.502,7.8863636365000005,2.51,5.25,7.0,5.0,6.875,9.0,-0.49799999999999933,-0.05527192008879016,9.7,-1.8136363634999988,-0.1867802640061791,3.77,-1.2600000000000002,-0.3333333333333334,8.2,-2.9499999999999993,-0.3593179049939098,7.5,-0.625,-0.08322237017310254,8.255,-1.2550000000000008,-0.15184513006654576,10.0,-5.0,-0.4995004995004995,8.2582,-1.9422272726999994,-0.23490327673496036,1
2023,RA-1015,7.538908333,Ametista,10.0,9.3,6.27,6.3,7.786666667,5.0,7.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1015,6.643252381000002,Agata,7.918,7.8214285715,7.51,4.0,5.66,10.0,6.041666667,10.0,-2.082,-0.20799200799200798,9.3,-1.4785714285000005,-0.15881540585392057,6.27,1.2400000000000002,0.19745222929936312,6.3,-2.3,-0.36450079239302696,7.34375,-1.3020833329999997,-0.17706385626381094,7.786666667,-2.1266666670000003,-0.2727661394068933,5.0,5.0,0.9980039920159681,7.538908333,-0.8956559519999985,-0.1186470827953553,1
2023,RA-1016,7.762575,Ametista,10.0,9.5,7.52,6.7,7.73,5.0,7.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1017,6.505333333,Agata,0.0,8.0,5.02,7.7,8.116666667,5.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1017,7.345521428500001,Ametista,9.502,7.8095238095,6.26,5.0,7.443333333,10.0,7.1875,0.0,9.502,950.2,8.0,-0.1904761905000001,-0.023779799063670424,5.02,1.2400000000000002,0.24652087475149112,7.7,-2.7,-0.3501945525291829,7.5,-0.3125,-0.04161118508655127,8.116666667,-0.6733333340000005,-0.08285479909422258,5.0,5.0,0.9980039920159681,6.505333333,0.8401880955000003,0.1289555042785714,1
2023,RA-1018,6.824,Agata,0.0,8.5,5.02,6.3,8.06,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1018,7.7054045454,Ametista,8.502,7.727272727,6.26,8.25,8.45,5.0,8.4375,0.0,8.502,850.2,8.5,-0.7727272730000001,-0.09080226474735606,5.02,1.2400000000000002,0.24652087475149112,6.3,1.9500000000000002,0.3090332805071316,7.5,0.9375,0.1248335552596538,8.06,0.3899999999999988,0.04832713754646825,10.0,-5.0,-0.4995004995004995,6.824,0.8814045454000006,0.12897344825870655,1
2023,RA-1019,7.177033333,Ametista,7.5,9.1,5.02,4.3,7.836666667,10.0,6.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1019,8.692255194900001,Topázio,9.502,9.3073593075,6.26,8.75,8.616666667,10.0,7.8125,7.5,2.0020000000000007,0.2665778961384821,9.1,0.20735930750000087,0.022761724204171337,5.02,1.2400000000000002,0.24652087475149112,4.3,4.45,1.0324825986078887,6.875,0.9375,0.13616557734204793,7.836666667,0.7800000000000002,0.09940526762534391,10.0,0.0,0.0,7.177033333,1.5152218619000015,0.21082716493642867,1
2022,RA-102,6.922,Ágata,6.7,7.7,6.9,5.7,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023,RA-1020,7.612283333,Ametista,10.0,9.1,2.52,6.1,8.056666667,10.0,7.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1020,8.9544954545,Topázio,9.002,9.7727272725,6.88,9.0,8.84,10.0,8.4375,10.0,-0.9979999999999993,-0.09970029970029963,9.1,0.6727272724999995,0.07384492563117448,2.52,4.359999999999999,1.7233201581027666,6.1,2.9000000000000004,0.474631751227496,7.1875,1.25,0.1736714136853074,8.056666667,0.7833333329999999,0.0971074379711939,10.0,0.0,0.0,7.612283333,1.3422121215000002,0.17609055749594243,1
2023,RA-1021,6.964616667,Agata,8.0,9.2,3.77,3.3,7.893333333,10.0,7.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1021,8.0985863636,Topázio,9.502,9.318181818,7.51,8.0,7.95,5.0,8.4375,8.0,1.5020000000000007,0.18751560549313367,9.2,0.11818181800000005,0.012831902062975034,3.77,3.7399999999999998,0.9894179894179894,3.3,4.7,1.419939577039275,7.1875,1.25,0.1736714136853074,7.893333333,0.056666667000000004,0.007169970519070855,10.0,-5.0,-0.4995004995004995,6.964616667,1.1339696966000012,0.16258523596935645,1
2023,RA-1022,7.164616667,Ametista,8.5,8.5,3.77,4.7,7.893333333,10.0,7.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1022,7.613169697000002,Ametista,9.502,9.318181818,6.26,6.5,8.116666667,5.0,7.5,8.5,1.0020000000000007,0.11774383078730913,8.5,0.8181818179999993,0.09614357438307866,3.77,2.4899999999999998,0.6587301587301587,4.7,1.7999999999999998,0.38216560509554137,7.1875,0.3125,0.04341785342132685,7.893333333,0.22333333400000033,0.028258119022701776,10.0,-5.0,-0.4995004995004995,7.164616667,0.448553030000002,0.06251944191849909,1
2023,RA-1023,9.1342,Topázio,10.0,10.0,6.27,9.1,9.06,10.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1023,9.4985809523,Topázio,9.502,9.511904762,9.375,9.5,9.563333333,10.0,8.958333333,10.0,-0.49799999999999933,-0.049750249750249685,10.0,-0.48809523799999965,-0.048760763036963,6.27,3.1050000000000004,0.49442675159235683,9.1,0.40000000000000036,0.04390779363336997,8.75,0.20833333300000056,0.023782343949771755,9.06,0.5033333329999987,0.05549430352811452,10.0,0.0,0.0,9.1342,0.36438095229999945,0.03984831393670299,1
2023,RA-1024,7.788875,Ametista,0.0,10.0,6.27,9.8,8.95,5.0,9.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1024,8.6516166666,Topázio,8.002,10.0,7.51,10.0,8.783333333,5.0,8.4375,0.0,8.002,800.2,10.0,0.0,0.0,6.27,1.2400000000000002,0.19745222929936312,9.8,0.1999999999999993,0.02038735983690105,9.21875,-0.78125,-0.08465393471488555,8.95,-0.16666666699999944,-0.018601190513392797,5.0,0.0,0.0,7.788875,0.8627416666000007,0.11062386133897527,1
2023,RA-1025,8.215158333,Topázio,8.5,8.9,7.52,7.5,7.836666667,10.0,7.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1025,7.897071212,Ametista,9.002,7.727272727,7.51,9.0,7.783333333,5.0,8.4375,8.5,0.5020000000000007,0.05898942420681559,8.9,-1.1727272730000005,-0.1316192225589226,7.52,-0.009999999999999787,-0.0013280212483399452,7.5,1.5,0.1997336884154461,7.65625,0.78125,0.10190771237567259,7.836666667,-0.0533333340000004,-0.006796941461053706,10.0,-5.0,-0.4995004995004995,8.215158333,-0.3180871209999996,-0.03867246174749103,1
2023,RA-1026,6.494825,Agata,8.5,9.8,7.52,3.2,7.06,2.5,6.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1027,7.748866667,Ametista,9.5,9.7,7.52,6.0,8.333333333,5.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1027,8.220866666700001,Topázio,9.502,10.0,7.51,5.25,8.39,10.0,7.916666667,9.5,0.002000000000000668,0.00021030494216621115,9.7,0.3000000000000007,0.030895983522142196,7.52,-0.009999999999999787,-0.0013280212483399452,6.0,-0.75,-0.12479201331114809,7.5,0.4166666670000003,0.055481580159787,8.333333333,0.056666667000000004,0.00679184982048709,5.0,5.0,0.9980039920159681,7.748866667,0.4719999997000013,0.06083362686299418,1
2023,RA-1028,6.415708333,Agata,0.0,9.2,7.52,5.0,7.946666667,5.0,7.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1028,7.1404338602,Ametista,8.002,7.055335968,5.63,7.5,8.393333333,5.0,6.875,0.0,8.002,800.2,9.2,-2.1446640319999997,-0.23286254419109662,7.52,-1.8899999999999997,-0.250996015936255,5.0,2.5,0.49900199600798406,7.34375,-0.46875,-0.06374298827129016,7.946666667,0.4466666659999996,0.05613741088998163,5.0,0.0,0.0,6.415708333,0.7247255271999995,0.11278531325147208,1
2023,RA-1029,7.058533333,Ametista,10.0,6.3,3.77,5.4,8.006666667,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1029,7.797790909100001,Ametista,9.002,8.7954545455,6.885,8.75,7.25,5.0,7.5,10.0,-0.9979999999999993,-0.09970029970029963,6.3,2.4954545455000003,0.39547615618066567,3.77,3.1149999999999998,0.8240740740740741,5.4,3.3499999999999996,0.6192236598890942,7.5,0.0,0.0,8.006666667,-0.7566666669999993,-0.09438669442434974,10.0,-5.0,-0.4995004995004995,7.058533333,0.7392575761000009,0.10458429511094178,1
2022,RA-103,8.107,Topázio,7.9,8.7,7.5,7.3,7.708,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-103,8.0239,Topázio,8.3,9.2,5.0,7.1,8.09,10.0,8.125,7.9,0.40000000000000036,0.050568900126422296,8.7,0.5,0.05740528128587831,7.5,-2.5,-0.33288948069241014,7.3,-0.20000000000000018,-0.027359781121751053,0.0,8.125,812.5,7.708,0.3819999999999997,0.04949468774293854,10.0,0.0,0.0,8.107,-0.08309999999999995,-0.0102377725760749,1
2024,RA-103,8.775268254,Topázio,8.334,9.603174603333335,6.26,9.166666666666666,8.872,10.0,7.875,8.3,0.03399999999999892,0.004091456077015514,9.2,0.4031746033333352,0.043775744118711754,5.0,1.2599999999999998,0.25149700598802394,7.1,2.0666666666666664,0.2906704172526957,8.125,-0.25,-0.03073140749846343,8.09,0.782,0.09654320987654322,10.0,0.0,0.0,8.0239,0.7513682540000008,0.09352472074583962,1
2023,RA-1030,7.4027,Ametista,8.5,9.7,3.77,6.9,8.39,5.0,6.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1030,7.740191604,Ametista,7.418,8.28320802,4.385,8.0,7.61,10.0,7.8125,8.5,-1.0819999999999999,-0.127144535840188,9.7,-1.4167919799999993,-0.14591060556127697,3.77,0.6149999999999998,0.16269841269841265,6.9,1.0999999999999996,0.1591895803183791,6.875,0.9375,0.13616557734204793,8.39,-0.7800000000000002,-0.09285714285714289,5.0,5.0,0.9980039920159681,7.4027,0.33749160399999933,0.04552883618654462,1
2023,RA-1031,7.0602,Ametista,8.0,8.8,7.52,5.9,7.006666667,5.0,6.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1031,6.8757227273,Agata,9.502,8.6363636365,7.51,6.25,5.83,5.0,5.3125,8.0,1.5020000000000007,0.18751560549313367,8.8,-0.16363636350000021,-0.01857393456299662,7.52,-0.009999999999999787,-0.0013280212483399452,5.9,0.34999999999999964,0.05922165820642972,6.666666667,-1.3541666670000003,-0.20282076888652922,7.006666667,-1.176666667,-0.16769596203478881,5.0,0.0,0.0,7.0602,-0.1844772726999997,-0.026092228324516943,1
2023,RA-1032,7.434033333,Ametista,8.5,9.5,7.52,6.0,7.563333333,5.0,7.291666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1032,8.01645,Topázio,8.502,9.75,7.51,8.0,7.92,5.0,7.8125,8.5,0.002000000000000668,0.00023501762632205264,9.5,0.25,0.026288117770767613,7.52,-0.009999999999999787,-0.0013280212483399452,6.0,2.0,0.3327787021630616,7.291666667,0.5208333329999997,0.0713307463560223,7.563333333,0.3566666669999998,0.04709507046862212,5.0,0.0,0.0,7.434033333,0.5824166670000004,0.07823939535817234,1
2023,RA-1033,8.126033333,Topázio,9.0,8.9,7.52,7.9,9.006666667,5.0,8.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1034,7.9642,Ametista,7.5,9.0,7.52,8.3,8.393333333,5.0,8.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1034,8.0333666666,Topázio,7.502,8.0833333335,7.51,7.5,8.223333333,10.0,7.708333333,7.5,0.0019999999999997797,0.00026631158455389875,9.0,-0.9166666664999994,-0.10173880871254155,7.52,-0.009999999999999787,-0.0013280212483399452,8.3,-0.8000000000000007,-0.09626955475330934,8.333333333,-0.6250000000000009,-0.07491010787354825,8.393333333,-0.16999999999999993,-0.02023006743436057,5.0,5.0,0.9980039920159681,7.9642,0.06916666659999926,0.008673806350480207,1
2023,RA-1035,6.888833333,Agata,0.0,8.3,7.52,5.8,7.78,10.0,7.708333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
